id,league,date,local_team,away_team,local_score,away_score,league_date,is_playoff,stadium,referee,Local,goles_local,goles_visitante,Visitante,Estado,Estadio,Arbitro,ficha
1,Torneo Final 2014,2014-02-09 00:00:00 ART,EST,ARS,1,0,1,0,Ciudad de La Plata,"Pitana, Néstor Fabián",Estudiantes L.P.,1,0,Arsenal F.C.,Finalizado,Ciudad de La Plata,"Pitana, Néstor Fabián",Ficha
2,Torneo Final 2014,2014-02-09 00:00:00 ART,VEL,TIG,0,0,1,0,Vélez,"Alvarez, Luis",Vélez Sarsfield,0,0,Tigre,Finalizado,Vélez,"Alvarez, Luis",Ficha
3,Torneo Final 2014,2014-02-09 00:00:00 ART,OLI,SLO,2,0,1,0,Olimpo,"Merlos, Andrés",Olimpo B. Blanca,2,0,San Lorenzo de A.,Finalizado,Olimpo,"Merlos, Andrés",Ficha
4,Torneo Final 2014,2014-02-09 00:00:00 ART,ARG,GOD,2,1,1,0,D.Maradona,"Delfino, Germán",Argentinos Jrs.,2,1,Godoy Cruz Mza.,Finalizado,D.Maradona,"Delfino, Germán",Ficha
5,Torneo Final 2014,2014-02-09 00:00:00 ART,ATR,ALL,1,1,1,0,At. de Rafaela,"Ceballos, Diego",At. de Rafaela,1,1,All Boys,Finalizado,At. de Rafaela,"Ceballos, Diego",Ficha
6,Torneo Final 2014,2014-02-09 00:00:00 ART,RAC,COL,3,0,1,0,Racing,"Rapallini, Fernando",Racing Club,3,0,Colón,Finalizado,Racing,"Rapallini, Fernando",Ficha
7,Torneo Final 2014,2014-02-09 00:00:00 ART,QUI,ROS,0,1,1,0,,"Herrera, Darío",Quilmes A.C.,0,1,Rosario Ctral.,Finalizado,,"Herrera, Darío",Ficha
8,Torneo Final 2014,2014-02-09 00:00:00 ART,NEW,BOC,0,0,1,0,M.Bielsa,"Vigliano, Mauro",N.O. Boys,0,0,Boca Jrs.,Finalizado,M.Bielsa,"Vigliano, Mauro",Ficha
9,Torneo Final 2014,2014-02-09 00:00:00 ART,RIV,GIM,1,0,1,0,River Plate,"Lunati, Pablo",River Plate,1,0,G. y Esgrima L.P.,Finalizado,River Plate,"Lunati, Pablo",Ficha
10,Torneo Final 2014,2014-02-09 00:00:00 ART,BEL,LAN,2,2,1,0,Mario Alberto Kempes,"Trucco, Silvio",Belgrano,2,2,Lanús,Finalizado,Mario Alberto Kempes,"Trucco, Silvio",Ficha
1,Torneo Final 2014,2014-02-16 00:00:00 ART,GOD,QUI,2,0,2,0,Mundialista Mendoza,"Trucco, Silvio",Godoy Cruz Mza.,2,0,Quilmes A.C.,Finalizado,Mundialista Mendoza,"Trucco, Silvio",Ficha
2,Torneo Final 2014,2014-02-16 00:00:00 ART,ALL,EST,0,1,2,0,All Boys,"Merlos, Andrés",All Boys,0,1,Estudiantes L.P.,Finalizado,All Boys,"Merlos, Andrés",Ficha
