id,code,name,country,league,avatar,group_number
1,GER,Alemania,Alemania,Mundial Brasil 2014,http://img.fifa.com/images/flags/4/ger.png,g
2,ALG,Argelia,Argelia,Mundial Brasil 2014,http://img.fifa.com/images/flags/4/alg.png,h
3,ARG,Argentina,Argentina,Mundial Brasil 2014,http://img.fifa.com/images/flags/4/arg.png,f
4,AUS,Australia,Australia,Mundial Brasil 2014,http://img.fifa.com/images/flags/4/aus.png,b
5,BEL,Bélgica,Bélgica,Mundial Brasil 2014,http://img.fifa.com/images/flags/4/bel.png,h
6,BIH,Bosnia y Herzegovina,Bosnia y Herzegovina,Mundial Brasil 2014,http://img.fifa.com/images/flags/4/bih.png,f
7,BRA,Brasil,Brasil,Mundial Brasil 2014,http://img.fifa.com/images/flags/4/bra.png,a
8,CMR,Camerún,Camerún,Mundial Brasil 2014,http://img.fifa.com/images/flags/4/cmr.png,a
9,CHI,Chile,Chile,Mundial Brasil 2014,http://img.fifa.com/images/flags/4/chi.png,b
10,COL,Colombia,Colombia,Mundial Brasil 2014,http://img.fifa.com/images/flags/4/col.png,c
11,CIV,Costa de Marfil,Costa de Marfil,Mundial Brasil 2014,http://img.fifa.com/images/flags/4/civ.png,c
12,CRC,Costa Rica,Costa Rica,Mundial Brasil 2014,http://img.fifa.com/images/flags/4/crc.png,d
13,CRO,Croacia,Croacia,Mundial Brasil 2014,http://img.fifa.com/images/flags/4/cro.png,a
14,ECU,Ecuador,Ecuador,Mundial Brasil 2014,http://img.fifa.com/images/flags/4/ecu.png,e
15,USA,EEUU,EEUU,Mundial Brasil 2014,http://img.fifa.com/images/flags/4/usa.png,g
16,ESP,España,España,Mundial Brasil 2014,http://img.fifa.com/images/flags/4/esp.png,b
17,FRA,Francia,Francia,Mundial Brasil 2014,http://img.fifa.com/images/flags/4/fra.png,e
18,GHA,Ghana,Ghana,Mundial Brasil 2014,http://img.fifa.com/images/flags/4/gha.png,g
19,GRE,Grecia,Grecia,Mundial Brasil 2014,http://img.fifa.com/images/flags/4/gre.png,c
20,HON,Honduras,Honduras,Mundial Brasil 2014,http://img.fifa.com/images/flags/4/hon.png,e
21,ENG,Inglaterra,Inglaterra,Mundial Brasil 2014,http://img.fifa.com/images/flags/4/eng.png,d
22,IRN,Irán,Irán,Mundial Brasil 2014,http://img.fifa.com/images/flags/4/irn.png,f
23,ITA,Italia,Italia,Mundial Brasil 2014,http://img.fifa.com/images/flags/4/ita.png,d
24,JPN,Japón,Japón,Mundial Brasil 2014,http://img.fifa.com/images/flags/4/jpn.png,c
25,MEX,México,México,Mundial Brasil 2014,http://img.fifa.com/images/flags/4/mex.png,a
26,NIG,Nigeria,Nigeria,Mundial Brasil 2014,http://img.fifa.com/images/flags/4/nig.png,f
27,NED,Holanda,Holanda,Mundial Brasil 2014,http://img.fifa.com/images/flags/4/ned.png,b
28,POR,Portugal,Portugal,Mundial Brasil 2014,http://img.fifa.com/images/flags/4/por.png,g
29,KOR,República de Corea,República de Corea,Mundial Brasil 2014,http://img.fifa.com/images/flags/4/kor.png,h
30,RUS,Rusia,Rusia,Mundial Brasil 2014,http://img.fifa.com/images/flags/4/rus.png,h
31,SUI,Suiza,Suiza,Mundial Brasil 2014,http://img.fifa.com/images/flags/4/sui.png,e
32,URU,Uruguay,Uruguay,Mundial Brasil 2014,http://img.fifa.com/images/flags/4/uru.png,d
33,1A,1A,1A,Mundial Brasil 2014,http://www.promiedos.com.ar/images/nuevosescudos/clubx.png,
34,1C,1C,2A,Mundial Brasil 2014,http://www.promiedos.com.ar/images/nuevosescudos/clubx.png,
35,1B,1B,3A,Mundial Brasil 2014,http://www.promiedos.com.ar/images/nuevosescudos/clubx.png,
36,1D,1D,4A,Mundial Brasil 2014,http://www.promiedos.com.ar/images/nuevosescudos/clubx.png,
37,1E,1E,5A,Mundial Brasil 2014,http://www.promiedos.com.ar/images/nuevosescudos/clubx.png,
38,1G,1G,6A,Mundial Brasil 2014,http://www.promiedos.com.ar/images/nuevosescudos/clubx.png,
39,1F,1F,7A,Mundial Brasil 2014,http://www.promiedos.com.ar/images/nuevosescudos/clubx.png,
40,1H,1H,8A,Mundial Brasil 2014,http://www.promiedos.com.ar/images/nuevosescudos/clubx.png,
41,2B,2B,9A,Mundial Brasil 2014,http://www.promiedos.com.ar/images/nuevosescudos/clubx.png,
42,2D,2D,10A,Mundial Brasil 2014,http://www.promiedos.com.ar/images/nuevosescudos/clubx.png,
43,2A,2A,11A,Mundial Brasil 2014,http://www.promiedos.com.ar/images/nuevosescudos/clubx.png,
44,2C,2C,12A,Mundial Brasil 2014,http://www.promiedos.com.ar/images/nuevosescudos/clubx.png,
45,2F,2F,13A,Mundial Brasil 2014,http://www.promiedos.com.ar/images/nuevosescudos/clubx.png,
46,2H,2H,14A,Mundial Brasil 2014,http://www.promiedos.com.ar/images/nuevosescudos/clubx.png,
47,2E,2E,15A,Mundial Brasil 2014,http://www.promiedos.com.ar/images/nuevosescudos/clubx.png,
48,2G,2G,16A,Mundial Brasil 2014,http://www.promiedos.com.ar/images/nuevosescudos/clubx.png,
49,Ganador P49,Ganador P49,17A,Mundial Brasil 2014,http://www.promiedos.com.ar/images/nuevosescudos/clubx.png,
50,Ganador P53,Ganador P53,18A,Mundial Brasil 2014,http://www.promiedos.com.ar/images/nuevosescudos/clubx.png,
51,Ganador P51,Ganador P51,19A,Mundial Brasil 2014,http://www.promiedos.com.ar/images/nuevosescudos/clubx.png,
52,Ganador P55,Ganador P55,20A,Mundial Brasil 2014,http://www.promiedos.com.ar/images/nuevosescudos/clubx.png,
53,Ganador P57,Ganador P57,21A,Mundial Brasil 2014,http://www.promiedos.com.ar/images/nuevosescudos/clubx.png,
54,Ganador P59,Ganador P59,22A,Mundial Brasil 2014,http://www.promiedos.com.ar/images/nuevosescudos/clubx.png,
55,Perdedor P61,Perdedor P61,23A,Mundial Brasil 2014,http://www.promiedos.com.ar/images/nuevosescudos/clubx.png,
56,Ganador P61,Ganador P61,24A,Mundial Brasil 2014,http://www.promiedos.com.ar/images/nuevosescudos/clubx.png,
57,Ganador P50,Ganador P50,25A,Mundial Brasil 2014,http://www.promiedos.com.ar/images/nuevosescudos/clubx.png,
58,Ganador P54,Ganador P54,26A,Mundial Brasil 2014,http://www.promiedos.com.ar/images/nuevosescudos/clubx.png,
59,Ganador P50,Ganador P50,27A,Mundial Brasil 2014,http://www.promiedos.com.ar/images/nuevosescudos/clubx.png,
60,Ganador P56,Ganador P56,28A,Mundial Brasil 2014,http://www.promiedos.com.ar/images/nuevosescudos/clubx.png,
61,Ganador P58,Ganador P58,29A,Mundial Brasil 2014,http://www.promiedos.com.ar/images/nuevosescudos/clubx.png,
62,Ganador P60,Ganador P60,30A,Mundial Brasil 2014,http://www.promiedos.com.ar/images/nuevosescudos/clubx.png,
63,Perdedor P62,Perdedor P62,31A,Mundial Brasil 2014,http://www.promiedos.com.ar/images/nuevosescudos/clubx.png,
64,Ganador P62,Ganador P62,32A,Mundial Brasil 2014,http://www.promiedos.com.ar/images/nuevosescudos/clubx.png,
